Milliseconds,PackVoltx100,Ampsx100,RPM
88000,1226,316,5065
88100,1226,325,5050
88200,1226,325,5330
88300,1226,316,5102
88400,1226,325,5257
88500,1229,334,5263
88600,1229,325,5081
88700,1226,325,5319
88800,1229,334,5307
88900,1226,325,5181
89000,1226,325,5081
89100,1226,325,5045
89200,1226,325,5257
89300,1226,325,5060
89400,1226,325,5208
89500,1229,325,5070
89600,1229,325,5159
89700,1226,325,5081
89800,1229,334,5307
89900,1226,334,5117
90000,1226,325,5112
90100,1226,334,5252
90200,1226,334,5040
90300,1226,334,5202
90400,1226,325,5313
90500,1226,334,5040
90600,1226,325,5060
90700,1226,334,5291
90800,1226,325,5045
90900,1226,325,5263
91000,1226,325,5086
91100,1226,325,5060
91200,1226,325,5241
91300,1226,344,5086
91400,1226,353,5291
91500,1226,344,5138
91600,1226,353,5330
91700,1224,400,5494
91800,1224,390,5567
91900,1224,390,5599
92000,1224,390,5393
92100,1224,390,5524
92200,1224,400,5405
92300,1224,390,5530
92400,1224,390,5555
92500,1224,390,5549
92600,1224,390,5592
92700,1224,390,5675
92800,1224,390,5574
92900,1224,400,5701
93000,1224,390,5681
93100,1224,400,5681
93200,1224,390,5681
93300,1224,381,5428
93400,1224,381,5694
93500,1224,400,5714
93600,1224,390,5760
93700,1224,390,5464
93800,1224,390,5675
93900,1224,390,5688
94000,1224,390,5476
94100,1224,390,5488
94200,1224,390,5446
94300,1224,409,5476
94400,1224,381,5694
94500,1224,390,5405
94600,1224,390,5675
94700,1224,400,5428
94800,1224,390,5422
94900,1224,390,5586
95000,1224,390,5530
95100,1224,390,5405
95200,1224,390,5701
95300,1224,390,5399
95400,1224,390,5624
95500,1224,390,5656
95600,1224,381,5440
95700,1224,390,5452
95800,1224,390,5649
95900,1224,400,5656
96000,1224,400,5714
96100,1224,390,5549
96200,1224,400,5422
96300,1224,390,5428
96400,1224,390,5617
96500,1224,390,5549
96600,1224,390,5649
96700,1224,390,5681
96800,1224,400,5656
96900,1224,390,5747
97000,1224,390,5428
97100,1224,390,5773
97200,1224,400,5428
97300,1224,390,5668
97400,1224,390,5701
97500,1224,390,5681
97600,1224,381,5399
97700,1224,400,5688
97800,1224,390,5675
97900,1224,390,5681
98000,1224,390,5422
98100,1224,381,5662
98200,1224,390,5417
98300,1224,390,5662
98400,1224,381,5668
98500,1224,390,5688
98600,1224,381,5440
98700,1224,381,5428
98800,1224,390,5675
98900,1224,390,5630
99000,1224,390,5662
99100,1224,390,5549
99200,1224,390,5668
99300,1224,390,5428
99400,1224,390,5405
99500,1224,390,5643
99600,1224,381,5555
